Eläimen numero;Nimi;Tuotoskausi numero;Tuotospäivät;Päivätuotos;Päivätuotoksen poikkeama;Päivätuotos. keskim.;Lypsyjä;Keksiarvo Ohikulut;kg väkirehua / 100 kg maitoa;Syönti yht.;Yhteensä tänään;Jäännös yhteensä;Rasva%;Valkuais%;Rasva/valkuais suhde;Märehtimismin. yht.;Paino Keskiarvo;Solut
616;Lissukka;2;226;30,2;-1,1;31,3;2,1;0,0;12,41;3,83;5,17;0,07;4,73;3,65;1,30;531;643;398
657;Linni;2;63;55,7;2,5;53,2;3,0;1,6;12,65;6,63;7,50;0,10;3,00;3,31;0,91;572;548;91
415;Lime;2;101;43,4;2,1;41,3;4,3;6,7;15,26;6,44;7,30;0,14;4,23;3,13;1,35;503;585;9
638;Lilla;2;37;59,8;1,9;57,9;3,1;0,0;15,28;9,12;7,80;0,24;3,15;3,10;1,02;433;636;424
652;Liita;2;46;46,1;0,2;45,9;4,3;0,6;16,22;7,32;7,80;0,22;4,17;3,28;1,27;352;519;271
611;Liekki;2;329;27,5;-1,5;29,0;1,9;1,0;19,13;5,64;6,00;0,10;5,99;3,75;1,60;433;563;217
642;Letta;2;105;43,3;1,0;42,3;3,9;5,7;17,95;7,79;7,80;0,16;4,56;3,23;1,41;424;606;23
662;Leni;1;339;13,1;-3,2;16,3;1,0;0,0;3,98;0,51;1,00;0,49;7,61;4,19;1,82;449;588;245
71;Leinikki;2;58;49,4;-2,2;51,6;3,0;0,0;15,34;7,76;7,80;0,17;5,35;3,86;1,39;442;644;137
86;Laurelia;2;61;47,2;-0,9;48,1;4,6;3,4;18,67;8,74;7,80;0,16;3,90;3,43;1,14;534;584;538
659;Lasmi;2;61;50,8;0,4;50,4;4,1;1,4;17,21;8,73;7,80;0,23;3,87;3,29;1,18;373;578;24
615;Larissa;2;288;35,1;-0,2;35,3;2,9;1,4;16,39;5,59;5,56;0,12;5,00;3,81;1,31;468;579;28
626;Lane;2;162;36,0;0,1;35,9;3,9;4,3;14,72;5,21;5,58;0,10;5,85;4,08;1,43;510;554;97
636;Laiho;2;43;51,5;0,3;51,2;4,0;2,7;14,37;7,61;7,80;0,17;4,35;3,45;1,26;534;541;491
